"filename", "language", "XML", "Razor", "CSS", "Markdown", "JavaScript", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Seller\CompletedOrders.cshtml", "Razor", 0, 81, 0, 0, 0, 0, 0, 0, 0, 2, 83
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Seller\EditProduct.cshtml", "Razor", 0, 81, 0, 0, 0, 0, 0, 0, 0, 3, 84
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Seller\EditRestaurant.cshtml", "Razor", 0, 75, 0, 0, 0, 0, 0, 0, 0, 2, 77
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Seller\Index.cshtml", "Razor", 0, 244, 0, 0, 0, 0, 0, 0, 1, 10, 255
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Seller\ListProducts.cshtml", "Razor", 0, 119, 0, 0, 0, 0, 0, 0, 0, 8, 127
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Seller\RestaurantDetail.cshtml", "Razor", 0, 50, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Seller\SetOutOrders.cshtml", "Razor", 0, 93, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_AddressCard.cshtml", "Razor", 0, 47, 0, 0, 0, 0, 0, 0, 0, 2, 49
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_CartItemCard.cshtml", "Razor", 0, 56, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_CartItemCard2.cshtml", "Razor", 0, 44, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_CategoryCard.cshtml", "Razor", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_Coursel.cshtml", "Razor", 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_Footer.cshtml", "Razor", 0, 22, 0, 0, 0, 0, 0, 0, 3, 2, 27
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_Layout.cshtml", "Razor", 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_Layout.cshtml.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_LayoutAdmin.cshtml", "Razor", 0, 27, 0, 0, 0, 0, 0, 0, 1, 2, 30
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_LayoutNull.cshtml", "Razor", 0, 22, 0, 0, 0, 0, 0, 0, 1, 1, 24
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_LayoutSeller.cshtml", "Razor", 0, 27, 0, 0, 0, 0, 0, 0, 1, 2, 30
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_Navbar.cshtml", "Razor", 0, 62, 0, 0, 0, 0, 0, 0, 9, 3, 74
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_Navbar2.cshtml", "Razor", 0, 73, 0, 0, 0, 0, 0, 0, 0, 6, 79
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_NavbarAdmin.cshtml", "Razor", 0, 73, 0, 0, 0, 0, 0, 0, 0, 6, 79
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_OrderItemCard.cshtml", "Razor", 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_OrderItemCardSeller.cshtml", "Razor", 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_ProductCard.cshtml", "Razor", 0, 52, 0, 0, 0, 0, 0, 0, 0, 6, 58
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_ProductCard2.cshtml", "Razor", 0, 61, 0, 0, 0, 0, 0, 0, 29, 5, 95
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_RestaurantCard.cshtml", "Razor", 0, 62, 0, 0, 0, 0, 0, 0, 0, 10, 72
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Shared\_ValidationScriptsPartial.cshtml", "Razor", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\User\AddAddress.cshtml", "Razor", 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\User\AddComplaint.cshtml", "Razor", 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 45
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\User\ApplySeller.cshtml", "Razor", 0, 119, 0, 0, 0, 0, 0, 0, 0, 4, 123
